source,target,value
TWN,CHN,1
KOR,PRK,1
UKR,RUS,1
IND,PAK,1
KOS,SRB,1
IND,CHN,1
USA,TWN,2
USA,JPN,2
USA,KOR,2
USA,PHL,2
USA,ISR,2
CHN,PRK,2
CHN,PAK,2
RUS,CHN,2
RUS,PRK,2
RUS,SRB,2
